#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
ASM15162v1	na	NW_004597059.1	BABH01074682.1	GPS_001627951.1
ASM15162v1	na	NW_004597060.1	BABH01074681.1	GPS_001627952.1
ASM15162v1	na	NW_004597061.1	BABH01074680.1	GPS_001627953.1
ASM15162v1	na	NW_004597062.1	BABH01074679.1	GPS_001627954.1
ASM15162v1	na	NW_004597063.1	BABH01074678.1	GPS_001627955.1
ASM15162v1	na	NW_004597064.1	BABH01074677.1	GPS_001627956.1
ASM15162v1	na	NW_004597065.1	BABH01074676.1	GPS_001627957.1
ASM15162v1	na	NW_004597066.1	BABH01074675.1	GPS_001627958.1
ASM15162v1	na	NW_004597067.1	BABH01074674.1	GPS_001627959.1
ASM15162v1	na	NW_004597068.1	BABH01074673.1	GPS_001627960.1
ASM15162v1	na	NW_004597069.1	BABH01074672.1	GPS_001627961.1
ASM15162v1	na	NW_004597070.1	BABH01074671.1	GPS_001627962.1
ASM15162v1	na	NW_004597071.1	BABH01074670.1	GPS_001627963.1
ASM15162v1	na	NW_004597072.1	BABH01074669.1	GPS_001627964.1
ASM15162v1	na	NW_004597073.1	BABH01074668.1	GPS_001627965.1
ASM15162v1	na	NW_004597074.1	BABH01074667.1	GPS_001627966.1
ASM15162v1	na	NW_004597075.1	BABH01074666.1	GPS_001627967.1
ASM15162v1	na	NW_004597076.1	BABH01074665.1	GPS_001627968.1
ASM15162v1	na	NW_004597077.1	BABH01074664.1	GPS_001627969.1
ASM15162v1	na	NW_004597078.1	BABH01074663.1	GPS_001627970.1
ASM15162v1	na	NW_004597079.1	BABH01074662.1	GPS_001627971.1
ASM15162v1	na	NW_004597080.1	BABH01074661.1	GPS_001627972.1
ASM15162v1	na	NW_004597081.1	BABH01074660.1	GPS_001627973.1
ASM15162v1	na	NW_004597082.1	BABH01074659.1	GPS_001627974.1
ASM15162v1	na	NW_004597083.1	BABH01074658.1	GPS_001627975.1
ASM15162v1	na	NW_004597084.1	BABH01074657.1	GPS_001627976.1
ASM15162v1	na	NW_004597085.1	BABH01074656.1	GPS_001627977.1
ASM15162v1	na	NW_004597086.1	BABH01074655.1	GPS_001627978.1
ASM15162v1	na	NW_004597087.1	BABH01074654.1	GPS_001627979.1
ASM15162v1	na	NW_004597088.1	BABH01074653.1	GPS_001627980.1
ASM15162v1	na	NW_004597089.1	BABH01074652.1	GPS_001627981.1
ASM15162v1	na	NW_004597090.1	BABH01074651.1	GPS_001627982.1
ASM15162v1	na	NW_004597091.1	BABH01074650.1	GPS_001627983.1
ASM15162v1	na	NW_004597092.1	BABH01074649.1	GPS_001627984.1
ASM15162v1	na	NW_004597093.1	BABH01074648.1	GPS_001627985.1
ASM15162v1	na	NW_004597094.1	BABH01074647.1	GPS_001627986.1
ASM15162v1	na	NW_004597095.1	BABH01074646.1	GPS_001627987.1
ASM15162v1	na	NW_004597096.1	BABH01074645.1	GPS_001627988.1
ASM15162v1	na	NW_004597097.1	BABH01074644.1	GPS_001627989.1
ASM15162v1	na	NW_004597098.1	BABH01074643.1	GPS_001627990.1
ASM15162v1	na	NW_004597099.1	BABH01074642.1	GPS_001627991.1
ASM15162v1	na	NW_004597100.1	BABH01074641.1	GPS_001627992.1
ASM15162v1	na	NW_004597101.1	BABH01074640.1	GPS_001627993.1
ASM15162v1	na	NW_004597102.1	BABH01074639.1	GPS_001627994.1
ASM15162v1	na	NW_004597103.1	BABH01074638.1	GPS_001627995.1
ASM15162v1	na	NW_004597104.1	BABH01074637.1	GPS_001627996.1
ASM15162v1	na	NW_004597105.1	BABH01074636.1	GPS_001627997.1
ASM15162v1	na	NW_004597106.1	BABH01074635.1	GPS_001627998.1
ASM15162v1	na	NW_004597107.1	BABH01074634.1	GPS_001627999.1
ASM15162v1	na	NW_004597108.1	BABH01074633.1	GPS_001628000.1
ASM15162v1	na	NW_004597109.1	BABH01074632.1	GPS_001628001.1
ASM15162v1	na	NW_004597110.1	BABH01074631.1	GPS_001628002.1
ASM15162v1	na	NW_004597111.1	BABH01074630.1	GPS_001628003.1
ASM15162v1	na	NW_004597112.1	BABH01074629.1	GPS_001628004.1
ASM15162v1	na	NW_004597113.1	BABH01074628.1	GPS_001628005.1
ASM15162v1	na	NW_004597114.1	BABH01074627.1	GPS_001628006.1
ASM15162v1	na	NW_004597115.1	BABH01074626.1	GPS_001628007.1
ASM15162v1	na	NW_004597116.1	BABH01074625.1	GPS_001628008.1
ASM15162v1	na	NW_004597117.1	BABH01074624.1	GPS_001628009.1
ASM15162v1	na	NW_004597118.1	BABH01074623.1	GPS_001628010.1
ASM15162v1	na	NW_004597119.1	BABH01074622.1	GPS_001628011.1
ASM15162v1	na	NW_004597120.1	BABH01074621.1	GPS_001628012.1
ASM15162v1	na	NW_004597121.1	BABH01074620.1	GPS_001628013.1
ASM15162v1	na	NW_004597122.1	BABH01074619.1	GPS_001628014.1
ASM15162v1	na	NW_004597123.1	BABH01074618.1	GPS_001628015.1
ASM15162v1	na	NW_004597124.1	BABH01074617.1	GPS_001628016.1
ASM15162v1	na	NW_004597125.1	BABH01074616.1	GPS_001628017.1
ASM15162v1	na	NW_004597126.1	BABH01074615.1	GPS_001628018.1
ASM15162v1	na	NW_004597127.1	BABH01074614.1	GPS_001628019.1
ASM15162v1	na	NW_004597128.1	BABH01074613.1	GPS_001628020.1
ASM15162v1	na	NW_004597129.1	BABH01074612.1	GPS_001628021.1
ASM15162v1	na	NW_004597130.1	BABH01074611.1	GPS_001628022.1
ASM15162v1	na	NW_004597131.1	BABH01074610.1	GPS_001628023.1
ASM15162v1	na	NW_004597132.1	BABH01074609.1	GPS_001628024.1
ASM15162v1	na	NW_004597133.1	BABH01074608.1	GPS_001628025.1
ASM15162v1	na	NW_004597134.1	BABH01074607.1	GPS_001628026.1
ASM15162v1	na	NW_004597135.1	BABH01074606.1	GPS_001628027.1
ASM15162v1	na	NW_004597136.1	BABH01074605.1	GPS_001628028.1
ASM15162v1	na	NW_004597137.1	BABH01074604.1	GPS_001628029.1
ASM15162v1	na	NW_004597138.1	BABH01074603.1	GPS_001628030.1
ASM15162v1	na	NW_004597139.1	BABH01074602.1	GPS_001628031.1
ASM15162v1	na	NW_004597140.1	BABH01074601.1	GPS_001628032.1
ASM15162v1	na	NW_004597141.1	BABH01074600.1	GPS_001628033.1
ASM15162v1	na	NW_004597142.1	BABH01074599.1	GPS_001628034.1
ASM15162v1	na	NW_004597143.1	BABH01074598.1	GPS_001628035.1
ASM15162v1	na	NW_004597144.1	BABH01074597.1	GPS_001628036.1
ASM15162v1	na	NW_004597145.1	BABH01074596.1	GPS_001628037.1
ASM15162v1	na	NW_004597146.1	BABH01074595.1	GPS_001628038.1
ASM15162v1	na	NW_004597147.1	BABH01074594.1	GPS_001628039.1
ASM15162v1	na	NW_004597148.1	BABH01074593.1	GPS_001628040.1
ASM15162v1	na	NW_004597149.1	BABH01074592.1	GPS_001628041.1
ASM15162v1	na	NW_004597150.1	BABH01074591.1	GPS_001628042.1
ASM15162v1	na	NW_004597151.1	BABH01074590.1	GPS_001628043.1
ASM15162v1	na	NW_004597152.1	BABH01074589.1	GPS_001628044.1
ASM15162v1	na	NW_004597153.1	BABH01074588.1	GPS_001628045.1
ASM15162v1	na	NW_004597154.1	BABH01074587.1	GPS_001628046.1
ASM15162v1	na	NW_004597155.1	BABH01074586.1	GPS_001628047.1
ASM15162v1	na	NW_004597156.1	BABH01074585.1	GPS_001628048.1
ASM15162v1	na	NW_004597157.1	BABH01074584.1	GPS_001628049.1
ASM15162v1	na	NW_004597158.1	BABH01074583.1	GPS_001628050.1
ASM15162v1	na	NW_004597159.1	BABH01074582.1	GPS_001628051.1
ASM15162v1	na	NW_004597160.1	BABH01074581.1	GPS_001628052.1
ASM15162v1	na	NW_004597161.1	BABH01074580.1	GPS_001628053.1
ASM15162v1	na	NW_004597162.1	BABH01074579.1	GPS_001628054.1
ASM15162v1	na	NW_004597163.1	BABH01074578.1	GPS_001628055.1
ASM15162v1	na	NW_004597164.1	BABH01074577.1	GPS_001628056.1
ASM15162v1	na	NW_004597165.1	BABH01074576.1	GPS_001628057.1
ASM15162v1	na	NW_004597166.1	BABH01074575.1	GPS_001628058.1
ASM15162v1	na	NW_004597167.1	BABH01074574.1	GPS_001628059.1
ASM15162v1	na	NW_004597168.1	BABH01074573.1	GPS_001628060.1
ASM15162v1	na	NW_004597169.1	BABH01074572.1	GPS_001628061.1
ASM15162v1	na	NW_004597170.1	BABH01074571.1	GPS_001628062.1
ASM15162v1	na	NW_004597171.1	BABH01074570.1	GPS_001628063.1
ASM15162v1	na	NW_004597172.1	BABH01074569.1	GPS_001628064.1
ASM15162v1	na	NW_004597173.1	BABH01074568.1	GPS_001628065.1
ASM15162v1	na	NW_004597174.1	BABH01074567.1	GPS_001628066.1
ASM15162v1	na	NW_004597175.1	BABH01074566.1	GPS_001628067.1
ASM15162v1	na	NW_004597176.1	BABH01074565.1	GPS_001628068.1
ASM15162v1	na	NW_004597177.1	BABH01074564.1	GPS_001628069.1
ASM15162v1	na	NW_004597178.1	BABH01074563.1	GPS_001628070.1
ASM15162v1	na	NW_004597179.1	BABH01074562.1	GPS_001628071.1
ASM15162v1	na	NW_004597180.1	BABH01074561.1	GPS_001628072.1
ASM15162v1	na	NW_004597181.1	BABH01074560.1	GPS_001628073.1
ASM15162v1	na	NW_004597182.1	BABH01074559.1	GPS_001628074.1
ASM15162v1	na	NW_004597183.1	BABH01074558.1	GPS_001628075.1
ASM15162v1	na	NW_004597184.1	BABH01074557.1	GPS_001628076.1
ASM15162v1	na	NW_004597185.1	BABH01074556.1	GPS_001628077.1
ASM15162v1	na	NW_004597186.1	BABH01074555.1	GPS_001628078.1
ASM15162v1	na	NW_004597187.1	BABH01074554.1	GPS_001628079.1
ASM15162v1	na	NW_004597188.1	BABH01074553.1	GPS_001628080.1
ASM15162v1	na	NW_004597189.1	BABH01074552.1	GPS_001628081.1
ASM15162v1	na	NW_004597190.1	BABH01074551.1	GPS_001628082.1
ASM15162v1	na	NW_004597191.1	BABH01074550.1	GPS_001628083.1
ASM15162v1	na	NW_004597192.1	BABH01074549.1	GPS_001628084.1
ASM15162v1	na	NW_004597193.1	BABH01074548.1	GPS_001628085.1
ASM15162v1	na	NW_004597194.1	BABH01074547.1	GPS_001628086.1
ASM15162v1	na	NW_004597195.1	BABH01074546.1	GPS_001628087.1
ASM15162v1	na	NW_004597196.1	BABH01074545.1	GPS_001628088.1
ASM15162v1	na	NW_004597197.1	BABH01074544.1	GPS_001628089.1
ASM15162v1	na	NW_004597198.1	BABH01074543.1	GPS_001628090.1
ASM15162v1	na	NW_004597199.1	BABH01074542.1	GPS_001628091.1
ASM15162v1	na	NW_004597200.1	BABH01074541.1	GPS_001628092.1
ASM15162v1	na	NW_004597201.1	BABH01074540.1	GPS_001628093.1
ASM15162v1	na	NW_004597202.1	BABH01074539.1	GPS_001628094.1
ASM15162v1	na	NW_004597203.1	BABH01074538.1	GPS_001628095.1
ASM15162v1	na	NW_004597204.1	BABH01074537.1	GPS_001628096.1
ASM15162v1	na	NW_004597205.1	BABH01074536.1	GPS_001628097.1
ASM15162v1	na	NW_004597206.1	BABH01074535.1	GPS_001628098.1
ASM15162v1	na	NW_004597207.1	BABH01074534.1	GPS_001628099.1
ASM15162v1	na	NW_004597208.1	BABH01074533.1	GPS_001628100.1
ASM15162v1	na	NW_004597209.1	BABH01074532.1	GPS_001628101.1
ASM15162v1	na	NW_004597210.1	BABH01074531.1	GPS_001628102.1
ASM15162v1	na	NW_004597211.1	BABH01074530.1	GPS_001628103.1
ASM15162v1	na	NW_004597212.1	BABH01074529.1	GPS_001628104.1
ASM15162v1	na	NW_004597213.1	BABH01074528.1	GPS_001628105.1
ASM15162v1	na	NW_004597214.1	BABH01074527.1	GPS_001628106.1
ASM15162v1	na	NW_004597215.1	BABH01074526.1	GPS_001628107.1
ASM15162v1	na	NW_004597216.1	BABH01074525.1	GPS_001628108.1
ASM15162v1	na	NW_004597217.1	BABH01074524.1	GPS_001628109.1
ASM15162v1	na	NW_004597218.1	BABH01074523.1	GPS_001628110.1
ASM15162v1	na	NW_004597219.1	BABH01074522.1	GPS_001628111.1
ASM15162v1	na	NW_004597220.1	BABH01074521.1	GPS_001628112.1
ASM15162v1	na	NW_004597221.1	BABH01074520.1	GPS_001628113.1
ASM15162v1	na	NW_004597222.1	BABH01074519.1	GPS_001628114.1
ASM15162v1	na	NW_004597223.1	BABH01074518.1	GPS_001628115.1
ASM15162v1	na	NW_004597224.1	BABH01074517.1	GPS_001628116.1
ASM15162v1	na	NW_004597225.1	BABH01074516.1	GPS_001628117.1
ASM15162v1	na	NW_004597226.1	BABH01074515.1	GPS_001628118.1
ASM15162v1	na	NW_004597227.1	BABH01074514.1	GPS_001628119.1
ASM15162v1	na	NW_004597228.1	BABH01074513.1	GPS_001628120.1
ASM15162v1	na	NW_004597229.1	BABH01074512.1	GPS_001628121.1
ASM15162v1	na	NW_004597230.1	BABH01074511.1	GPS_001628122.1
ASM15162v1	na	NW_004597231.1	BABH01074510.1	GPS_001628123.1
ASM15162v1	na	NW_004597232.1	BABH01074509.1	GPS_001628124.1
ASM15162v1	na	NW_004597233.1	BABH01074508.1	GPS_001628125.1
ASM15162v1	na	NW_004597234.1	BABH01074507.1	GPS_001628126.1
ASM15162v1	na	NW_004597235.1	BABH01074506.1	GPS_001628127.1
ASM15162v1	na	NW_004597236.1	BABH01074505.1	GPS_001628128.1
ASM15162v1	na	NW_004597237.1	BABH01074504.1	GPS_001628129.1
ASM15162v1	na	NW_004597238.1	BABH01074503.1	GPS_001628130.1
ASM15162v1	na	NW_004597239.1	BABH01074502.1	GPS_001628131.1
ASM15162v1	na	NW_004597240.1	BABH01074501.1	GPS_001628132.1
ASM15162v1	na	NW_004597241.1	BABH01074500.1	GPS_001628133.1
ASM15162v1	na	NW_004597242.1	BABH01074499.1	GPS_001628134.1
ASM15162v1	na	NW_004597243.1	BABH01074498.1	GPS_001628135.1
ASM15162v1	na	NW_004597244.1	BABH01074497.1	GPS_001628136.1
ASM15162v1	na	NW_004597245.1	BABH01074496.1	GPS_001628137.1
ASM15162v1	na	NW_004597246.1	BABH01074495.1	GPS_001628138.1
ASM15162v1	na	NW_004597247.1	BABH01074494.1	GPS_001628139.1
ASM15162v1	na	NW_004597248.1	BABH01074493.1	GPS_001628140.1
ASM15162v1	na	NW_004597249.1	BABH01074492.1	GPS_001628141.1
ASM15162v1	na	NW_004597250.1	BABH01074491.1	GPS_001628142.1
ASM15162v1	na	NW_004597251.1	BABH01074490.1	GPS_001628143.1
ASM15162v1	na	NW_004597252.1	BABH01074489.1	GPS_001628144.1
ASM15162v1	na	NW_004597253.1	BABH01074488.1	GPS_001628145.1
ASM15162v1	na	NW_004597254.1	BABH01074487.1	GPS_001628146.1
ASM15162v1	na	NW_004597255.1	BABH01074486.1	GPS_001628147.1
ASM15162v1	na	NW_004597256.1	BABH01074485.1	GPS_001628148.1
ASM15162v1	na	NW_004597257.1	BABH01074484.1	GPS_001628149.1
ASM15162v1	na	NW_004597258.1	BABH01074483.1	GPS_001628150.1
ASM15162v1	na	NW_004597259.1	BABH01074482.1	GPS_001628151.1
ASM15162v1	na	NW_004597260.1	BABH01074481.1	GPS_001628152.1
ASM15162v1	na	NW_004597261.1	BABH01074480.1	GPS_001628153.1
ASM15162v1	na	NW_004597262.1	BABH01074479.1	GPS_001628154.1
ASM15162v1	na	NW_004597263.1	BABH01074478.1	GPS_001628155.1
ASM15162v1	na	NW_004597264.1	BABH01074477.1	GPS_001628156.1
ASM15162v1	na	NW_004597265.1	BABH01074476.1	GPS_001628157.1
ASM15162v1	na	NW_004597266.1	BABH01074475.1	GPS_001628158.1
ASM15162v1	na	NW_004597267.1	BABH01074474.1	GPS_001628159.1
ASM15162v1	na	NW_004597268.1	BABH01074473.1	GPS_001628160.1
ASM15162v1	na	NW_004597269.1	BABH01074472.1	GPS_001628161.1
ASM15162v1	na	NW_004597270.1	BABH01074471.1	GPS_001628162.1
ASM15162v1	na	NW_004597271.1	BABH01074470.1	GPS_001628163.1
ASM15162v1	na	NW_004597272.1	BABH01074469.1	GPS_001628164.1
ASM15162v1	na	NW_004597273.1	BABH01074468.1	GPS_001628165.1
ASM15162v1	na	NW_004597274.1	BABH01074467.1	GPS_001628166.1
ASM15162v1	na	NW_004597275.1	BABH01074466.1	GPS_001628167.1
ASM15162v1	na	NW_004597276.1	BABH01074465.1	GPS_001628168.1
ASM15162v1	na	NW_004597277.1	BABH01074464.1	GPS_001628169.1
ASM15162v1	na	NW_004597278.1	BABH01074463.1	GPS_001628170.1
ASM15162v1	na	NW_004597279.1	BABH01074462.1	GPS_001628171.1
ASM15162v1	na	NW_004597280.1	BABH01074461.1	GPS_001628172.1
ASM15162v1	na	NW_004597281.1	BABH01074460.1	GPS_001628173.1
ASM15162v1	na	NW_004597282.1	BABH01074459.1	GPS_001628174.1
ASM15162v1	na	NW_004597283.1	BABH01074458.1	GPS_001628175.1
ASM15162v1	na	NW_004597284.1	BABH01074457.1	GPS_001628176.1
ASM15162v1	na	NW_004597285.1	BABH01074456.1	GPS_001628177.1
ASM15162v1	na	NW_004597286.1	BABH01074455.1	GPS_001628178.1
ASM15162v1	na	NW_004597287.1	BABH01074454.1	GPS_001628179.1
ASM15162v1	na	NW_004597288.1	BABH01074453.1	GPS_001628180.1
ASM15162v1	na	NW_004597289.1	BABH01074452.1	GPS_001628181.1
ASM15162v1	na	NW_004597290.1	BABH01074451.1	GPS_001628182.1
ASM15162v1	na	NW_004597291.1	BABH01074450.1	GPS_001628183.1
ASM15162v1	na	NW_004597292.1	BABH01074449.1	GPS_001628184.1
ASM15162v1	na	NW_004597293.1	BABH01074448.1	GPS_001628185.1
ASM15162v1	na	NW_004597294.1	BABH01074447.1	GPS_001628186.1
ASM15162v1	na	NW_004597295.1	BABH01074446.1	GPS_001628187.1
ASM15162v1	na	NW_004597296.1	BABH01074445.1	GPS_001628188.1
ASM15162v1	na	NW_004597297.1	BABH01074444.1	GPS_001628189.1
ASM15162v1	na	NW_004597298.1	BABH01074443.1	GPS_001628190.1
ASM15162v1	na	NW_004597299.1	BABH01074442.1	GPS_001628191.1
ASM15162v1	na	NW_004597300.1	BABH01074441.1	GPS_001628192.1
ASM15162v1	na	NW_004597301.1	BABH01074440.1	GPS_001628193.1
ASM15162v1	na	NW_004597302.1	BABH01074439.1	GPS_001628194.1
ASM15162v1	na	NW_004597303.1	BABH01074438.1	GPS_001628195.1
ASM15162v1	na	NW_004597304.1	BABH01074437.1	GPS_001628196.1
ASM15162v1	na	NW_004597305.1	BABH01074436.1	GPS_001628197.1
ASM15162v1	na	NW_004597306.1	BABH01074435.1	GPS_001628198.1
ASM15162v1	na	NW_004597307.1	BABH01074434.1	GPS_001628199.1
ASM15162v1	na	NW_004597308.1	BABH01074433.1	GPS_001628200.1
ASM15162v1	na	NW_004597309.1	BABH01074432.1	GPS_001628201.1
ASM15162v1	na	NW_004597310.1	BABH01074431.1	GPS_001628202.1
ASM15162v1	na	NW_004597311.1	BABH01074430.1	GPS_001628203.1
ASM15162v1	na	NW_004597312.1	BABH01074429.1	GPS_001628204.1
ASM15162v1	na	NW_004597313.1	BABH01074428.1	GPS_001628205.1
ASM15162v1	na	NW_004597314.1	BABH01074427.1	GPS_001628206.1
ASM15162v1	na	NW_004597315.1	BABH01074426.1	GPS_001628207.1
ASM15162v1	na	NW_004597316.1	BABH01074425.1	GPS_001628208.1
ASM15162v1	na	NW_004597317.1	BABH01074424.1	GPS_001628209.1
ASM15162v1	na	NW_004597318.1	BABH01074423.1	GPS_001628210.1
ASM15162v1	na	NW_004597319.1	BABH01074422.1	GPS_001628211.1
ASM15162v1	na	NW_004597320.1	BABH01074421.1	GPS_001628212.1
ASM15162v1	na	NW_004597321.1	BABH01074420.1	GPS_001628213.1
ASM15162v1	na	NW_004597322.1	BABH01074419.1	GPS_001628214.1
ASM15162v1	na	NW_004597323.1	BABH01074418.1	GPS_001628215.1
ASM15162v1	na	NW_004597324.1	BABH01074417.1	GPS_001628216.1
ASM15162v1	na	NW_004597325.1	BABH01074416.1	GPS_001628217.1
ASM15162v1	na	NW_004597326.1	BABH01074415.1	GPS_001628218.1
ASM15162v1	na	NW_004597327.1	BABH01074414.1	GPS_001628219.1
ASM15162v1	na	NW_004597328.1	BABH01074413.1	GPS_001628220.1
ASM15162v1	na	NW_004597329.1	BABH01074412.1	GPS_001628221.1
ASM15162v1	na	NW_004597330.1	BABH01074411.1	GPS_001628222.1
ASM15162v1	na	NW_004597331.1	BABH01074410.1	GPS_001628223.1
ASM15162v1	na	NW_004597332.1	BABH01074409.1	GPS_001628224.1
ASM15162v1	na	NW_004597333.1	BABH01074408.1	GPS_001628225.1
ASM15162v1	na	NW_004597334.1	BABH01074407.1	GPS_001628226.1
ASM15162v1	na	NW_004597335.1	BABH01074406.1	GPS_001628227.1
ASM15162v1	na	NW_004597336.1	BABH01074405.1	GPS_001628228.1
ASM15162v1	na	NW_004597337.1	BABH01074404.1	GPS_001628229.1
ASM15162v1	na	NW_004597338.1	BABH01074403.1	GPS_001628230.1
ASM15162v1	na	NW_004597339.1	BABH01074402.1	GPS_001628231.1
ASM15162v1	na	NW_004597340.1	BABH01074401.1	GPS_001628232.1
ASM15162v1	na	NW_004597341.1	BABH01074400.1	GPS_001628233.1
ASM15162v1	na	NW_004597342.1	BABH01074399.1	GPS_001628234.1
ASM15162v1	na	NW_004597343.1	BABH01074398.1	GPS_001628235.1
ASM15162v1	na	NW_004597344.1	BABH01074397.1	GPS_001628236.1
ASM15162v1	na	NW_004597345.1	BABH01074396.1	GPS_001628237.1
ASM15162v1	na	NW_004597346.1	BABH01074395.1	GPS_001628238.1
ASM15162v1	na	NW_004597347.1	BABH01074394.1	GPS_001628239.1
ASM15162v1	na	NW_004597348.1	BABH01074393.1	GPS_001628240.1
ASM15162v1	na	NW_004597349.1	BABH01074392.1	GPS_001628241.1
ASM15162v1	na	NW_004597350.1	BABH01074391.1	GPS_001628242.1
ASM15162v1	na	NW_004597351.1	BABH01074390.1	GPS_001628243.1
ASM15162v1	na	NW_004597352.1	BABH01074389.1	GPS_001628244.1
ASM15162v1	na	NW_004597353.1	BABH01074388.1	GPS_001628245.1
ASM15162v1	na	NW_004597354.1	BABH01074387.1	GPS_001628246.1
ASM15162v1	na	NW_004597355.1	BABH01074386.1	GPS_001628247.1
ASM15162v1	na	NW_004597356.1	BABH01074385.1	GPS_001628248.1
ASM15162v1	na	NW_004597357.1	BABH01074384.1	GPS_001628249.1
ASM15162v1	na	NW_004597358.1	BABH01074383.1	GPS_001628250.1
ASM15162v1	na	NW_004597359.1	BABH01074382.1	GPS_001628251.1
ASM15162v1	na	NW_004597360.1	BABH01074381.1	GPS_001628252.1
ASM15162v1	na	NW_004597361.1	BABH01074380.1	GPS_001628253.1
ASM15162v1	na	NW_004597362.1	BABH01074379.1	GPS_001628254.1
ASM15162v1	na	NW_004597363.1	BABH01074378.1	GPS_001628255.1
ASM15162v1	na	NW_004597364.1	BABH01074377.1	GPS_001628256.1
ASM15162v1	na	NW_004597365.1	BABH01074376.1	GPS_001628257.1
ASM15162v1	na	NW_004597366.1	BABH01074375.1	GPS_001628258.1
ASM15162v1	na	NW_004597367.1	BABH01074374.1	GPS_001628259.1
ASM15162v1	na	NW_004597368.1	BABH01074373.1	GPS_001628260.1
ASM15162v1	na	NW_004597369.1	BABH01074372.1	GPS_001628261.1
ASM15162v1	na	NW_004597370.1	BABH01074371.1	GPS_001628262.1
ASM15162v1	na	NW_004597371.1	BABH01074370.1	GPS_001628263.1
ASM15162v1	na	NW_004597372.1	BABH01074369.1	GPS_001628264.1
ASM15162v1	na	NW_004597373.1	BABH01074368.1	GPS_001628265.1
ASM15162v1	na	NW_004597374.1	BABH01074367.1	GPS_001628266.1
ASM15162v1	na	NW_004597375.1	BABH01074366.1	GPS_001628267.1
ASM15162v1	na	NW_004597376.1	BABH01074365.1	GPS_001628268.1
ASM15162v1	na	NW_004597377.1	BABH01074364.1	GPS_001628269.1
ASM15162v1	na	NW_004597378.1	BABH01074363.1	GPS_001628270.1
ASM15162v1	na	NW_004597379.1	BABH01074362.1	GPS_001628271.1
ASM15162v1	na	NW_004597380.1	BABH01074361.1	GPS_001628272.1
ASM15162v1	na	NW_004597381.1	BABH01074360.1	GPS_001628273.1
ASM15162v1	na	NW_004597382.1	BABH01074359.1	GPS_001628274.1
ASM15162v1	na	NW_004597383.1	BABH01074358.1	GPS_001628275.1
ASM15162v1	na	NW_004597384.1	BABH01074357.1	GPS_001628276.1
ASM15162v1	na	NW_004597385.1	BABH01074356.1	GPS_001628277.1
ASM15162v1	na	NW_004597386.1	BABH01074355.1	GPS_001628278.1
ASM15162v1	na	NW_004597387.1	BABH01074354.1	GPS_001628279.1
ASM15162v1	na	NW_004597388.1	BABH01074353.1	GPS_001628280.1
ASM15162v1	na	NW_004597389.1	BABH01074352.1	GPS_001628281.1
ASM15162v1	na	NW_004597390.1	BABH01074351.1	GPS_001628282.1
ASM15162v1	na	NW_004597391.1	BABH01074350.1	GPS_001628283.1
ASM15162v1	na	NW_004597392.1	BABH01074349.1	GPS_001628284.1
ASM15162v1	na	NW_004597393.1	BABH01074348.1	GPS_001628285.1
ASM15162v1	na	NW_004597394.1	BABH01074347.1	GPS_001628286.1
ASM15162v1	na	NW_004597395.1	BABH01074346.1	GPS_001628287.1
ASM15162v1	na	NW_004597396.1	BABH01074345.1	GPS_001628288.1
ASM15162v1	na	NW_004597397.1	BABH01074344.1	GPS_001628289.1
ASM15162v1	na	NW_004597398.1	BABH01074343.1	GPS_001628290.1
ASM15162v1	na	NW_004597399.1	BABH01074342.1	GPS_001628291.1
ASM15162v1	na	NW_004597400.1	BABH01074341.1	GPS_001628292.1
ASM15162v1	na	NW_004597401.1	BABH01074340.1	GPS_001628293.1
ASM15162v1	na	NW_004597402.1	BABH01074339.1	GPS_001628294.1
ASM15162v1	na	NW_004597403.1	BABH01074338.1	GPS_001628295.1
ASM15162v1	na	NW_004597404.1	BABH01074337.1	GPS_001628296.1
ASM15162v1	na	NW_004597405.1	BABH01074336.1	GPS_001628297.1
ASM15162v1	na	NW_004597406.1	BABH01074335.1	GPS_001628298.1
ASM15162v1	na	NW_004597407.1	BABH01074334.1	GPS_001628299.1
ASM15162v1	na	NW_004597408.1	BABH01074333.1	GPS_001628300.1
ASM15162v1	na	NW_004597409.1	BABH01074332.1	GPS_001628301.1
ASM15162v1	na	NW_004597410.1	BABH01074331.1	GPS_001628302.1
ASM15162v1	na	NW_004597411.1	BABH01074330.1	GPS_001628303.1
ASM15162v1	na	NW_004597412.1	BABH01074329.1	GPS_001628304.1
ASM15162v1	na	NW_004597413.1	BABH01074328.1	GPS_001628305.1
ASM15162v1	na	NW_004597414.1	BABH01074327.1	GPS_001628306.1
ASM15162v1	na	NW_004597415.1	BABH01074326.1	GPS_001628307.1
ASM15162v1	na	NW_004597416.1	BABH01074325.1	GPS_001628308.1
ASM15162v1	na	NW_004597417.1	BABH01074324.1	GPS_001628309.1
ASM15162v1	na	NW_004597418.1	BABH01074323.1	GPS_001628310.1
ASM15162v1	na	NW_004597419.1	BABH01074322.1	GPS_001628311.1
ASM15162v1	na	NW_004597420.1	BABH01074321.1	GPS_001628312.1
ASM15162v1	na	NW_004597421.1	BABH01074320.1	GPS_001628313.1
ASM15162v1	na	NW_004597422.1	BABH01074319.1	GPS_001628314.1
ASM15162v1	na	NW_004597423.1	BABH01074318.1	GPS_001628315.1
ASM15162v1	na	NW_004597424.1	BABH01074317.1	GPS_001628316.1
ASM15162v1	na	NW_004597425.1	BABH01074316.1	GPS_001628317.1
